Country Name,2018,2017,2016,2015,2014
Colombia,2.56%,1.36%,2.09%,2.96%,4.50%
Tuvalu,2.50%,4.09%,3.03%,9.14%,1.35%
Saudi Arabia,2.43%,-0.74%,1.67%,4.11%,3.65%
Spain,2.43%,2.97%,3.03%,3.84%,1.38%
Canada,2.43%,3.04%,1.00%,0.66%,2.87%
El Salvador,2.41%,2.25%,2.54%,2.40%,1.71%
Chad,2.37%,-2.99%,-6.26%,2.77%,6.90%
Eswatini,2.37%,2.03%,1.10%,2.20%,0.91%
Netherlands,2.36%,2.91%,2.19%,1.96%,1.42%
Kiribati,2.31%,0.89%,5.14%,10.41%,-0.70%
Dominica,2.30%,-6.80%,2.56%,-2.69%,4.45%
Cuba,2.25%,1.81%,0.51%,4.44%,1.05%
Isle Of Man,2.21%,2.84%,6.95%,-0.39%,5.16%
Mexico,2.20%,2.11%,2.63%,3.29%,2.85%
Denmark,2.18%,2.82%,3.25%,2.34%,1.62%
St. Vincent And The Grenadines,2.16%,1.00%,1.90%,1.33%,1.21%
Mauritania,2.12%,3.50%,1.26%,5.38%,4.27%
Costa Rica,2.06%,4.16%,4.20%,3.65%,3.54%
Sweden,1.95%,2.57%,2.07%,4.49%,2.66%
Jordan,1.93%,2.09%,1.99%,2.50%,3.38%
Nigeria,1.92%,0.81%,-1.62%,2.65%,6.31%
Jamaica,1.89%,1.00%,1.38%,0.92%,0.69%
France,1.79%,2.29%,1.10%,1.11%,0.96%
Belgium,1.79%,1.62%,1.27%,2.04%,1.58%
Brazil,1.78%,1.32%,-3.28%,-3.55%,0.50%
Bahrain,1.72%,4.29%,3.56%,2.49%,4.35%
Haiti,1.67%,2.29%,1.72%,1.62%,3.40%
Burundi,1.61%,0.50%,-0.60%,-3.90%,4.24%
Andorra,1.59%,0.35%,3.71%,1.43%,2.50%
Greece,1.56%,1.28%,-0.49%,-0.41%,0.70%
San Marino,1.54%,0.26%,2.34%,2.29%,-0.70%
Virgin Islands (U.S.),1.51%,-0.61%,1.13%,0.26%,-0.87%
Azerbaijan,1.50%,0.15%,-3.06%,1.05%,2.80%
Seychelles,1.33%,4.82%,4.56%,4.94%,4.50%
Finland,1.31%,3.19%,2.81%,0.54%,-0.36%
Ecuador,1.29%,2.37%,-1.23%,0.10%,3.79%
Guinea-Bissau,1.28%,5.92%,6.26%,6.13%,0.96%
Germany,1.27%,2.60%,2.23%,1.49%,2.21%
United Kingdom,1.25%,1.74%,1.72%,2.36%,2.86%
Kuwait,1.25%,-4.71%,2.93%,0.59%,0.50%
Qatar,1.23%,-1.50%,3.06%,4.75%,5.33%
West Bank And Gaza,1.23%,1.42%,8.86%,3.72%,-0.16%
Liberia,1.22%,2.47%,-1.60%,0.00%,0.70%
Algeria,1.20%,1.30%,3.20%,3.70%,3.80%
UAE,1.19%,2.37%,3.06%,5.11%,4.28%
Afghanistan,1.19%,2.65%,2.26%,1.45%,2.72%
Norway,1.12%,2.32%,1.07%,1.97%,1.97%
Namibia,1.11%,-1.03%,0.03%,4.26%,6.09%
Italy,0.94%,1.67%,1.29%,0.78%,0.00%
Oman,0.92%,0.35%,5.10%,4.63%,1.46%
Gabon,0.84%,0.47%,2.09%,3.88%,4.32%
South Africa,0.79%,1.41%,0.40%,1.19%,1.85%
Yemen,0.75%,-5.07%,-9.38%,-27.99%,-0.19%
Uruguay,0.48%,1.63%,1.69%,0.37%,3.24%
Japan,0.32%,2.17%,0.52%,1.22%,0.37%
Tonga,0.30%,3.32%,6.57%,1.17%,2.02%
Micronesia,0.21%,2.68%,0.90%,4.62%,-2.31%
Trinidad And Tobago,0.07%,-2.99%,-5.60%,1.48%,-0.91%
Brunei,0.05%,1.33%,-2.48%,-0.39%,-2.51%
Papua New Guinea,-0.28%,3.53%,5.49%,6.58%,13.54%
Bermuda,-0.43%,3.61%,-0.66%,0.78%,-3.70%
Barbados,-0.58%,0.48%,2.48%,2.45%,-0.12%
Guam,-0.90%,0.89%,0.18%,0.83%,1.79%
Timor-Leste,-1.05%,-4.10%,3.36%,2.91%,4.45%
Iraq,-1.21%,-1.75%,13.79%,4.72%,0.20%
Lesotho,-1.22%,-3.14%,3.59%,3.13%,1.71%
Lebanon,-1.93%,0.85%,1.53%,0.21%,2.46%
Angola,-2.00%,-0.15%,-2.58%,0.94%,4.82%
Samoa,-2.06%,1.04%,8.05%,4.27%,0.08%
Curacao,-2.17%,-1.74%,-0.99%,0.28%,-1.14%
Argentina,-2.57%,2.82%,-2.08%,2.73%,-2.51%
Nicaragua,-3.36%,4.63%,4.56%,4.79%,4.79%
Puerto Rico,-4.15%,-2.89%,-1.26%,-1.05%,-1.19%
"Congo, Rep.",-4.85%,-4.37%,-10.70%,-3.55%,6.72%
Iran,-6.03%,3.76%,13.40%,-1.32%,4.60%
Equatorial Guinea,-6.24%,-5.67%,-8.82%,-9.11%,0.42%
Sint Maarten (Dutch Part),-6.60%,-5.80%,0.50%,0.40%,1.58%
Northern Mariana Islands,-19.35%,23.17%,29.21%,3.38%,4.18%
Venezuela,0.00%,0.00%,0.00%,0.00%,-3.89%
South Sudan,0.00%,0.00%,0.00%,-10.79%,3.37%
Aruba,0.00%,2.00%,2.10%,5.70%,0.30%
