country,year,employed
Finland,2018,320000
Finland,2019,323000
Finland,2020,341000
France,2011,2870000
France,2012,2851000
France,2013,2220000
France,2014,1671000
France,2015,1751000
France,2016,1794000
France,2017,1692000
France,2018,1841000
France,2019,1790000
France,2020,1837000
Croatia,2011,41000
Croatia,2012,45000
Croatia,2013,46000
Croatia,2014,61000
Croatia,2015,48000
Croatia,2016,59000
Croatia,2017,64000
Croatia,2018,97000
Croatia,2019,110000
Croatia,2020,60000
Hungary,2011,107000
Hungary,2012,110000
Hungary,2013,120000
Hungary,2014,142000
Hungary,2015,187000
Hungary,2016,170000
Hungary,2017,158000
Hungary,2018,189000
Hungary,2019,226000
Hungary,2020,260000
Ireland,2011,190000
Ireland,2012,176000
Ireland,2013,194000
Ireland,2014,196000
Ireland,2015,185000
Ireland,2016,219000
Ireland,2017,231000
Ireland,2018,238000
Ireland,2019,241000
Ireland,2020,211000
Italy,2011,1048000
Italy,2012,999000
Italy,2013,1039000
Italy,2014,1202000
Italy,2015,1175000
Italy,2016,1194000
Italy,2017,1303000
Italy,2018,1166000
Italy,2019,1337000
Italy,2020,1376000
Lithuania,2011,53000
Lithuania,2012,52000
Lithuania,2013,52000
Lithuania,2014,59000
Lithuania,2015,68000
Lithuania,2016,78000
Lithuania,2017,73000
Lithuania,2018,78000
Lithuania,2019,58000
Lithuania,2020,55000
Luxembourg,2011,11000
Luxembourg,2012,13000
Luxembourg,2013,15000
Luxembourg,2014,12000
Luxembourg,2015,17000
Luxembourg,2016,24000
Luxembourg,2017,18000
Luxembourg,2018,19000
Luxembourg,2019,17000
Luxembourg,2020,20000
Latvia,2011,46000
Latvia,2012,58000
Latvia,2013,47000
Latvia,2014,57000
Latvia,2015,54000
Latvia,2016,58000
Latvia,2017,58000
Latvia,2018,83000
Latvia,2019,104000
Latvia,2020,68000
Malta,2011,6000
Malta,2012,9000
Malta,2013,12000
Malta,2014,13000
Malta,2015,11000
Malta,2016,7000
Malta,2017,15000
Malta,2018,19000
Malta,2019,19000
Malta,2020,14000
Netherlands,2011,640000
Netherlands,2012,641000
Netherlands,2013,646000
Netherlands,2014,666000
Netherlands,2015,737000
Netherlands,2016,764000
Netherlands,2017,708000
Netherlands,2018,757000
Netherlands,2019,826000
Netherlands,2020,779000
Poland,2011,451000
Poland,2012,495000
Poland,2013,528000
Poland,2014,587000
Poland,2015,578000
Poland,2016,638000
Poland,2017,691000
Poland,2018,747000
Poland,2019,678000
Poland,2020,647000
Portugal,2011,239000
Portugal,2012,218000
Portugal,2013,283000
Portugal,2014,322000
Portugal,2015,389000
Portugal,2016,392000
Portugal,2017,398000
Portugal,2018,377000
Portugal,2019,380000
Portugal,2020,381000
Romania,2011,114000
Romania,2012,200000
Romania,2013,141000
Romania,2014,108000
Romania,2015,123000
Romania,2016,127000
Romania,2017,150000
Romania,2018,108000
Romania,2019,153000
Romania,2020,193000
Sweden,2011,577000
Sweden,2012,632000
Sweden,2013,709000
Sweden,2014,723000
Sweden,2015,759000
Sweden,2016,744000
Sweden,2017,791000
Sweden,2018,828000
Sweden,2019,815000
Sweden,2020,780000
Slovenia,2011,52000
Slovenia,2012,39000
Slovenia,2013,41000
Slovenia,2014,40000
Slovenia,2015,54000
Slovenia,2016,53000
Slovenia,2017,57000
Slovenia,2018,54000
Slovenia,2019,48000
Slovenia,2020,47000
Slovakia,2011,67000
Slovakia,2012,85000
Slovakia,2013,118000
Slovakia,2014,125000
Slovakia,2015,112000
Slovakia,2016,118000
Slovakia,2017,118000
Slovakia,2018,98000
Slovakia,2019,105000
Slovakia,2020,116000
